CustomerId,Gender,Geography,Age,AccountStatus,MembershipStatus,Balance,EstimatedSalary,CreditScore,MembershipYears,Card Type,Satisfaction Score
15640280,Male,France,39,Open,Active Member,127771.35,151738.54,850,4,PLATINUM,4
15641585,Male,France,40,Open,Active Member,97339.99,88815.25,850,6,GOLD,1
15641604,Female,France,55,Closed,Inactive Member,98488.08,155879.57,850,10,SILVER,4
15642160,Male,France,38,Open,Inactive Member,0,16491.64,850,5,SILVER,1
15642816,Female,France,27,Open,Active Member,43658.33,3025.49,850,7,PLATINUM,4
15643438,Male,France,20,Open,Inactive Member,0,31288.77,850,7,DIAMOND,1
15644699,Female,France,40,Open,Inactive Member,0,1099.95,850,0,PLATINUM,4
15647800,Female,France,34,Open,Inactive Member,101266.51,33501.98,850,6,DIAMOND,1
15648069,Female,France,36,Open,Active Member,0,190194.95,850,6,GOLD,1
15648989,Male,France,37,Open,Inactive Member,126872.6,197266.58,850,4,DIAMOND,1
15649124,Male,France,30,Open,Inactive Member,121535.18,40313.47,850,9,GOLD,1
15649379,Female,France,46,Open,Active Member,0,187980.21,850,3,PLATINUM,1
15653547,Male,France,56,Open,Active Member,131317.48,119175.45,850,7,SILVER,3
15656921,Male,France,31,Open,Inactive Member,0,152298.28,850,4,SILVER,5
15657603,Female,France,35,Open,Inactive Member,81684.97,824,850,6,SILVER,5
15659949,Male,France,31,Open,Inactive Member,96399.31,106534.15,850,1,PLATINUM,5
15660809,Male,France,28,Open,Active Member,0,12409.01,850,4,GOLD,5
15662483,Male,France,43,Open,Active Member,0,173851.11,850,7,DIAMOND,3
15662641,Male,France,19,Open,Active Member,0,68569.89,850,8,GOLD,3
15668767,Male,France,36,Open,Inactive Member,0,195033.07,850,3,PLATINUM,4
15669491,Female,France,46,Open,Active Member,157866.77,18986.12,850,2,GOLD,3
15671256,Female,France,35,Closed,Inactive Member,211774.31,188574.12,850,1,PLATINUM,2
15675675,Female,France,32,Open,Inactive Member,106290.64,121982.73,850,5,DIAMOND,4
15676571,Male,France,55,Closed,Inactive Member,0,944.41,850,6,DIAMOND,1
15680804,Male,France,29,Open,Active Member,0,10672.54,850,6,GOLD,1
15681007,Female,France,35,Closed,Inactive Member,128548.49,75478.95,850,2,PLATINUM,3
15682533,Female,France,39,Open,Active Member,79259.99,186910.74,850,7,DIAMOND,1
15682868,Female,France,40,Closed,Active Member,99816.46,163989.66,850,9,PLATINUM,3
15682914,Male,France,34,Open,Active Member,72079.71,115767.93,850,2,GOLD,2
15684925,Female,France,43,Open,Inactive Member,0,2465.8,850,3,GOLD,4
15684999,Female,France,26,Open,Active Member,62610.96,179365.1,850,4,DIAMOND,3
15685314,Female,France,28,Open,Active Member,0,38773.74,850,2,PLATINUM,2
15688612,Male,France,33,Open,Inactive Member,140956.99,3510.18,850,7,PLATINUM,2
15688865,Female,France,35,Open,Inactive Member,0,25329.48,850,9,SILVER,1
15691785,Male,France,61,Closed,Inactive Member,0,53067.83,850,1,GOLD,2
15702434,Female,France,30,Open,Inactive Member,0,116692.8,850,3,SILVER,5
15707120,Male,France,46,Open,Inactive Member,117640.39,88920.68,850,9,PLATINUM,2
15708904,Female,France,37,Open,Inactive Member,0,100101.06,850,9,DIAMOND,5
15709256,Female,France,28,Open,Active Member,0,164864.67,850,9,GOLD,4
15710161,Female,France,34,Open,Active Member,0,171706.66,850,2,SILVER,4
15713608,Female,France,41,Open,Active Member,0,34827.43,850,5,GOLD,2
15713949,Male,France,40,Open,Inactive Member,76914.21,174183.44,850,1,DIAMOND,2
15714874,Female,France,42,Open,Active Member,0,176883.42,850,3,GOLD,2
15715541,Female,France,42,Open,Active Member,113311.11,198193.75,850,9,SILVER,1
15715667,Female,France,32,Open,Inactive Member,0,155227,850,7,GOLD,1
15717426,Male,France,36,Open,Active Member,0,40812.9,850,7,GOLD,3
15719931,Male,France,31,Open,Inactive Member,0,178667.7,850,8,GOLD,4
15720713,Female,France,29,Open,Active Member,0,199775.67,850,10,PLATINUM,5
15728542,Female,France,71,Open,Active Member,0,107236.87,850,4,PLATINUM,3
15730579,Male,France,68,Open,Active Member,169445.4,186335.07,850,5,PLATINUM,4
15731569,Male,France,81,Open,Active Member,0,44827.47,850,5,SILVER,2
15733247,Male,France,33,Closed,Inactive Member,0,4861.72,850,10,SILVER,1
15733973,Female,France,42,Closed,Inactive Member,0,19632.64,850,8,DIAMOND,5
15738181,Male,France,31,Closed,Inactive Member,67996.23,50129.87,850,6,DIAMOND,3
15739578,Male,France,49,Closed,Inactive Member,128663.9,65769.3,850,6,PLATINUM,4
15740283,Male,France,29,Open,Inactive Member,0,152996.89,850,1,GOLD,3
15743760,Male,France,31,Open,Active Member,131996.66,178747.43,850,6,SILVER,4
15744109,Male,France,32,Open,Active Member,0,180622.02,850,4,GOLD,2
15745250,Male,France,58,Closed,Inactive Member,156652.13,25899.21,850,8,PLATINUM,3
15747014,Female,France,28,Open,Active Member,105245.34,74780.13,850,1,PLATINUM,1
15750497,Female,France,37,Open,Active Member,153147.75,152235.3,850,7,GOLD,5
15750776,Female,France,36,Open,Active Member,164850.54,62722.44,850,0,PLATINUM,1
15755138,Female,France,32,Open,Active Member,0,55593.8,850,8,SILVER,2
15760427,Male,France,40,Open,Inactive Member,124788.18,65612.12,850,6,PLATINUM,4
15760431,Male,France,38,Open,Active Member,0,80006.65,850,1,PLATINUM,2
15762172,Female,France,39,Open,Inactive Member,0,179451.42,850,2,GOLD,2
15765287,Female,France,38,Open,Inactive Member,0,9015.07,850,2,SILVER,1
15768201,Female,France,39,Open,Active Member,148586.64,176791.27,850,2,DIAMOND,2
15769818,Female,France,37,Open,Active Member,212778.2,69372.88,850,3,SILVER,2
15771580,Female,France,38,Open,Active Member,106831.69,148977.72,850,0,SILVER,1
15782159,Male,France,28,Open,Active Member,67639.56,194245.29,850,8,GOLD,5
15784301,Male,France,42,Open,Inactive Member,0,44165.84,850,0,SILVER,2
15785798,Male,France,40,Open,Active Member,0,119232.33,850,9,GOLD,2
15786078,Female,France,28,Open,Inactive Member,0,185821.41,850,9,SILVER,3
15790683,Male,France,36,Open,Active Member,104077.19,68594,850,1,DIAMOND,1
15790744,Female,France,34,Open,Inactive Member,92899.27,97465.89,850,9,SILVER,4
15798615,Female,France,47,Open,Inactive Member,137301.87,44351.77,850,9,SILVER,1
15800233,Female,France,40,Open,Inactive Member,0,35034.15,850,5,DIAMOND,4
15800554,Female,France,81,Open,Active Member,0,59568.24,850,1,GOLD,3
15808689,Female,France,31,Open,Active Member,0,33082.81,850,4,PLATINUM,1
15808780,Female,France,34,Open,Inactive Member,0,51919.04,850,2,DIAMOND,4
15809227,Male,France,35,Open,Active Member,0,56991.66,850,2,DIAMOND,5
15811947,Male,France,33,Open,Active Member,124781.67,33700.52,850,0,DIAMOND,3
15812197,Male,France,38,Open,Inactive Member,80293.98,126555.74,850,7,SILVER,3
15812365,Male,France,40,Open,Inactive Member,102800.65,60811.56,850,8,DIAMOND,3
15650545,Male,France,69,Open,Active Member,71996.09,139065.94,849,7,GOLD,2
15659656,Male,France,35,Open,Inactive Member,110837.73,126419.8,849,4,PLATINUM,3
15717995,Male,France,27,Open,Active Member,0,157891.86,849,0,SILVER,1
15739160,Female,France,41,Open,Inactive Member,115465.28,103174.5,849,9,GOLD,3
15791958,Female,France,41,Closed,Active Member,0,169203.51,849,6,DIAMOND,1
15619932,Male,France,66,Open,Active Member,123760.68,53157.16,847,7,GOLD,1
15803121,Male,France,51,Closed,Inactive Member,97565.74,144184.06,847,5,PLATINUM,3
15625047,Female,France,38,Open,Active Member,0,187616.16,846,5,PLATINUM,3
15630641,Female,France,37,Open,Active Member,127103.97,41516.44,846,6,SILVER,1
15714466,Female,France,41,Closed,Inactive Member,0,3440.47,846,5,GOLD,1
15791674,Female,France,34,Closed,Active Member,142388.61,68393.64,846,10,SILVER,5
15565879,Female,France,28,Open,Active Member,0,56185.98,845,9,SILVER,5
15761763,Male,France,33,Open,Inactive Member,164385.53,150664.97,845,8,GOLD,5
15628674,Male,France,40,Closed,Inactive Member,113348.14,31904.31,844,7,SILVER,4
15707219,Female,France,28,Open,Active Member,0,123318.37,844,4,PLATINUM,4
15726796,Male,France,38,Open,Active Member,111501.66,119333.38,844,7,SILVER,5
15770291,Female,France,29,Open,Inactive Member,0,147342.03,844,8,PLATINUM,3
15787619,Male,France,18,Open,Inactive Member,160980.03,145936.28,844,2,DIAMOND,5
15790810,Female,France,41,Closed,Active Member,76319.64,141175.18,844,10,PLATINUM,3
15645463,Female,France,27,Open,Active Member,0,67494.23,843,5,DIAMOND,1
15654489,Female,France,38,Open,Active Member,134887.53,10804.04,843,8,DIAMOND,1
15580988,Male,France,29,Open,Active Member,0,123437.05,842,8,DIAMOND,2
15613656,Male,France,58,Open,Active Member,63492.94,83172.19,842,1,DIAMOND,4
15673591,Male,France,44,Closed,Active Member,141252.18,128521.16,842,3,PLATINUM,5
15717328,Female,France,37,Closed,Inactive Member,132446.08,87071.18,842,4,PLATINUM,4
15654463,Male,France,34,Open,Inactive Member,0,141582.66,841,4,DIAMOND,3
15711352,Female,France,31,Open,Active Member,162701.65,126794.56,841,3,PLATINUM,3
15716155,Female,France,36,Open,Inactive Member,156021.31,122662.98,841,5,DIAMOND,4
15730273,Male,France,27,Open,Inactive Member,0,171922.72,841,8,SILVER,3
15778830,Male,France,31,Open,Inactive Member,0,173240.52,841,2,DIAMOND,3
15780124,Male,France,74,Open,Active Member,108131.53,60830.38,841,9,SILVER,5
15807563,Female,France,52,Closed,Inactive Member,0,183239.71,841,5,GOLD,5
15631912,Male,France,30,Open,Inactive Member,136291.71,54113.38,840,8,PLATINUM,3
15709846,Female,France,39,Open,Inactive Member,94968.97,84487.62,840,1,SILVER,5
15763859,Female,France,43,Open,Inactive Member,0,90908.95,840,7,SILVER,2
15669887,Female,France,51,Closed,Active Member,0,69101.23,839,3,PLATINUM,5
15616172,Male,France,31,Open,Inactive Member,0,8222.96,838,2,GOLD,1
15794014,Female,France,34,Open,Inactive Member,0,27472.07,838,8,DIAMOND,2
15615820,Male,France,49,Open,Active Member,103302.37,50974.57,837,8,PLATINUM,3
15714634,Male,France,26,Open,Inactive Member,89900.24,175477.03,837,4,DIAMOND,2
15729359,Female,France,29,Open,Active Member,0,41866.26,837,9,SILVER,4
15807546,Female,France,38,Open,Active Member,0,46395.21,837,2,SILVER,4
15808023,Female,France,29,Open,Active Member,133681.78,153747.73,836,9,PLATINUM,1
15579131,Male,France,25,Open,Active Member,0,83449.65,835,7,SILVER,3
15717489,Male,France,23,Closed,Inactive Member,0,19793.73,835,9,SILVER,4
15763327,Male,France,32,Open,Active Member,124993.29,27548.06,835,8,PLATINUM,5
15766746,Male,France,35,Open,Inactive Member,127120.07,28707.69,835,6,PLATINUM,2
15808784,Male,France,28,Open,Active Member,163569.61,154559.28,835,2,PLATINUM,5
15815259,Female,France,56,Open,Active Member,0,39820.13,835,2,PLATINUM,5
15594404,Female,France,49,Open,Inactive Member,160602.25,129273.94,834,8,GOLD,2
15658475,Male,France,36,Closed,Inactive Member,142882.49,89983.02,834,8,DIAMOND,3
15680587,Male,France,23,Open,Inactive Member,131254.81,20199.3,834,4,SILVER,4
15755196,Female,France,49,Closed,Inactive Member,131394.56,194365.76,834,2,GOLD,2
15781409,Female,France,28,Open,Inactive Member,0,74287.53,834,6,PLATINUM,2
15613337,Male,France,47,Open,Active Member,0,182247.77,833,2,SILVER,5
15652069,Male,France,30,Open,Inactive Member,0,141860.62,833,1,DIAMOND,5
15667896,Male,France,37,Open,Active Member,151226.18,136129.49,833,8,DIAMOND,3
15721377,Female,France,34,Open,Inactive Member,144751.81,166472.81,833,3,SILVER,3
15730161,Female,France,39,Open,Inactive Member,0,1710.89,833,3,DIAMOND,1
15763665,Female,France,28,Open,Inactive Member,136674.51,5278.78,833,4,GOLD,5
15599124,Female,France,29,Open,Inactive Member,0,178779.52,832,5,PLATINUM,5
15632665,Male,France,61,Closed,Active Member,0,127804.66,832,2,DIAMOND,2
15775709,Female,France,27,Open,Inactive Member,98590.25,30912.89,832,10,SILVER,1
15646276,Female,France,32,Open,Inactive Member,146033.62,191260.74,831,2,SILVER,5
15707114,Male,France,30,Open,Active Member,0,3430.38,831,2,DIAMOND,1
15811200,Female,France,34,Open,Inactive Member,0,165840.94,831,2,GOLD,3
15637131,Male,France,38,Open,Inactive Member,0,30529.88,829,9,SILVER,5
15742798,Female,France,22,Closed,Inactive Member,150126.44,152107.93,829,7,SILVER,5
15575492,Female,France,41,Open,Inactive Member,0,171378.77,828,7,PLATINUM,2
15598892,Male,France,30,Open,Inactive Member,73070.18,161671.15,828,4,SILVER,4
15682472,Male,France,34,Open,Inactive Member,129433.34,38131.77,828,8,SILVER,4
15693382,Male,France,31,Open,Active Member,0,164257.37,828,9,GOLD,3
15745624,Male,France,37,Open,Inactive Member,0,94845.45,828,4,PLATINUM,4
15658693,Female,France,60,Open,Active Member,0,60615.83,827,2,DIAMOND,3
15714380,Male,France,38,Open,Inactive Member,0,103305.01,827,5,SILVER,2
15591489,Male,France,26,Open,Inactive Member,142662.68,60285.3,826,5,DIAMOND,3
15645744,Female,France,30,Open,Active Member,0,157397.57,826,5,SILVER,1
15652626,Male,France,55,Open,Inactive Member,115285.85,140126.17,826,4,GOLD,2
15689781,Female,France,49,Closed,Inactive Member,0,178709.98,826,0,SILVER,4
15572174,Male,France,29,Open,Active Member,148874.01,71192.82,825,3,DIAMOND,3
15572291,Male,France,40,Open,Inactive Member,132308.22,117122.5,825,6,PLATINUM,2
15586699,Male,France,32,Open,Inactive Member,0,9751.03,825,9,PLATINUM,5
15588933,Female,France,36,Open,Active Member,146053.66,138344.7,825,3,SILVER,5
15724527,Male,France,34,Open,Active Member,0,31933.06,825,9,SILVER,3
15584363,Male,France,30,Open,Active Member,133634.02,162053.92,824,0,PLATINUM,1
15766826,Male,France,26,Closed,Inactive Member,146266,21903.62,824,7,GOLD,2
15775203,Male,France,45,Open,Inactive Member,129209.48,60151.77,824,3,DIAMOND,2
15606310,Male,France,71,Open,Active Member,149105.08,162683.06,823,5,PLATINUM,5
15606841,Male,France,38,Open,Inactive Member,0,156603.7,823,1,SILVER,2
15736154,Female,France,44,Open,Active Member,0,182495.7,823,1,SILVER,2
15808905,Male,France,37,Open,Active Member,164858.18,173516.71,823,5,DIAMOND,5
15815428,Male,France,34,Open,Inactive Member,105057.33,9217.92,823,3,PLATINUM,2
15592531,Male,France,50,Open,Active Member,0,10062.8,822,7,SILVER,2
15662238,Male,France,37,Open,Inactive Member,105563,182624.93,822,3,DIAMOND,5
15744622,Male,France,32,Open,Inactive Member,116358,108798.36,822,8,DIAMOND,4
15749519,Male,France,38,Closed,Inactive Member,128289.7,9149.96,822,6,DIAMOND,3
15715877,Male,France,28,Open,Inactive Member,0,46072.52,821,2,DIAMOND,2
15727291,Female,France,40,Open,Inactive Member,0,194273.12,821,1,SILVER,5
15732448,Female,France,28,Open,Active Member,0,36754.13,821,8,GOLD,5
15623346,Male,France,36,Open,Inactive Member,0,31422.69,820,4,SILVER,2
15691624,Male,France,33,Open,Inactive Member,132150.26,23067.97,820,2,GOLD,2
15703143,Female,France,29,Open,Active Member,82344.84,115985.38,820,3,GOLD,2
15763907,Female,France,39,Closed,Inactive Member,104614.29,61538.43,820,1,GOLD,4
15769586,Female,France,49,Open,Active Member,0,119087.25,820,1,PLATINUM,1
15612109,Male,France,38,Open,Active Member,122334.26,181507.44,819,9,SILVER,1
15672016,Male,France,35,Open,Active Member,0,3385.04,819,1,GOLD,1
15698786,Female,France,39,Closed,Inactive Member,133102.92,27046.46,819,9,SILVER,2
15767793,Female,France,38,Open,Inactive Member,0,30498.7,819,10,SILVER,3
15603883,Male,France,36,Open,Active Member,0,8037.03,818,4,GOLD,2
15605037,Female,France,49,Closed,Active Member,0,192298.84,818,2,GOLD,4
15737792,Female,France,31,Open,Inactive Member,186796.37,178252.63,818,1,PLATINUM,4
15571778,Female,France,55,Closed,Inactive Member,117561.49,95941.55,817,10,GOLD,3
15574122,Male,France,34,Open,Inactive Member,129278.43,165562.84,817,5,DIAMOND,1
15686696,Female,France,37,Open,Inactive Member,81070.34,80985.88,817,6,PLATINUM,5
15733777,Male,France,44,Closed,Inactive Member,0,65501.91,817,8,DIAMOND,5
15778481,Male,France,59,Open,Active Member,118962.58,120819.58,817,1,GOLD,3
15712176,Male,France,31,Open,Active Member,0,28407.4,816,8,SILVER,4
15589449,Female,France,56,Closed,Active Member,0,94248.16,815,3,GOLD,3
15595228,Male,France,45,Closed,Active Member,0,52885.23,815,7,SILVER,5
15701605,Male,France,37,Open,Inactive Member,166115.42,67208.3,815,1,PLATINUM,3
15716781,Male,France,24,Open,Active Member,171922.72,178028.96,815,7,DIAMOND,2
15782778,Male,France,35,Open,Active Member,0,198490.33,815,4,DIAMOND,2
15593694,Male,France,49,Open,Inactive Member,0,157822.54,814,8,GOLD,3
15596397,Female,France,48,Open,Active Member,0,132870.15,814,7,GOLD,1
15623695,Female,France,31,Open,Active Member,0,142029.17,814,4,SILVER,2
15724150,Male,France,48,Open,Active Member,136596.85,185791.9,814,9,GOLD,3
15759915,Female,France,31,Open,Inactive Member,87772.52,188516.45,814,6,SILVER,3
15798666,Female,France,36,Open,Active Member,0,98657.01,814,6,SILVER,5
15814209,Male,France,31,Open,Inactive Member,118870.92,101704.19,814,1,DIAMOND,3
15620344,Male,France,29,Open,Inactive Member,0,33953.87,813,6,PLATINUM,3
15621687,Male,France,34,Open,Inactive Member,0,43169.15,813,0,DIAMOND,2
15631603,Male,France,32,Open,Active Member,122889.88,26476.18,813,1,DIAMOND,3
15733014,Female,France,62,Open,Active Member,64667.95,140454.14,813,10,SILVER,4
15602373,Male,France,44,Open,Inactive Member,115049.15,165038.41,812,4,DIAMOND,2
15635598,Male,France,29,Open,Inactive Member,0,168023.6,812,6,DIAMOND,1
15762198,Male,France,34,Open,Active Member,103818.43,166038.27,812,5,GOLD,4
15793331,Male,France,32,Open,Inactive Member,133050.97,89385.92,812,5,SILVER,2
15799932,Male,France,24,Open,Active Member,0,156906.15,812,10,PLATINUM,1
15640421,Female,France,35,Open,Active Member,0,178.19,811,7,SILVER,5
15654760,Male,France,40,Open,Active Member,101514.89,121765,811,1,SILVER,3
15654891,Male,France,30,Open,Active Member,0,180591.32,811,6,SILVER,2
15678034,Male,France,46,Closed,Inactive Member,180226.24,13464.64,811,9,PLATINUM,3
15693877,Female,France,47,Open,Inactive Member,123365.34,171995.34,811,3,GOLD,4
15767626,Male,France,42,Open,Active Member,0,3797.79,811,10,SILVER,5
15784700,Male,France,31,Open,Active Member,117799.28,182372.35,811,7,SILVER,4
15802570,Female,France,45,Open,Active Member,0,146123.19,811,5,DIAMOND,3
15618391,Male,France,33,Open,Active Member,0,77965.67,810,6,DIAMOND,4
15741865,Female,France,38,Open,Active Member,153166.17,93261.69,810,9,DIAMOND,2
15786993,Female,France,51,Open,Active Member,0,184524.74,810,5,DIAMOND,1
15798532,Male,France,32,Open,Active Member,120879.73,78896.59,810,9,PLATINUM,2
15568046,Male,France,24,Open,Inactive Member,109558.36,183515.13,809,7,GOLD,5
15575748,Male,France,36,Open,Active Member,68881.59,109135.11,809,9,DIAMOND,5
15576602,Male,France,38,Open,Active Member,0,80061.31,809,3,DIAMOND,3
15672704,Female,France,24,Open,Inactive Member,0,193518.76,809,4,GOLD,1
15774277,Male,France,43,Open,Active Member,0,132908.07,809,2,PLATINUM,1
15778884,Female,France,38,Open,Active Member,154763.21,174800.31,809,2,DIAMOND,5
15813911,Female,France,39,Open,Inactive Member,0,77705.75,809,5,DIAMOND,5
15703354,Female,France,33,Open,Inactive Member,103516.87,113907.8,808,2,SILVER,1
15725762,Male,France,24,Open,Inactive Member,122168.65,174107.04,808,4,GOLD,4
15728885,Male,France,41,Open,Active Member,0,79888.78,808,0,GOLD,3
15731511,Male,France,45,Open,Inactive Member,118626.55,147132.46,808,7,SILVER,1
15786539,Male,France,32,Open,Active Member,0,46200.71,808,1,GOLD,4
15583480,Female,France,36,Open,Active Member,0,147007.33,807,4,GOLD,5
15594815,Male,France,35,Open,Active Member,174790.15,600.36,807,3,SILVER,3
15619972,Female,France,47,Closed,Inactive Member,167664.83,125440.11,807,9,SILVER,4
15625247,Female,France,34,Open,Inactive Member,0,114448.13,807,1,GOLD,3
15659366,Male,France,43,Closed,Inactive Member,105799.32,34888.04,807,1,DIAMOND,4
15699389,Male,France,42,Open,Active Member,118274.71,25885.72,807,7,DIAMOND,3
15716926,Male,France,33,Open,Inactive Member,101952.97,178153.65,807,10,GOLD,2
15751227,Male,France,47,Open,Inactive Member,95120.59,127875.1,807,1,PLATINUM,3
15622578,Male,France,34,Open,Active Member,113958.55,32125.98,806,5,DIAMOND,3
15639217,Male,France,34,Open,Inactive Member,0,100809.99,806,6,SILVER,3
15657396,Male,France,31,Open,Active Member,0,140168.36,806,9,SILVER,4
15700223,Male,France,48,Open,Active Member,164701.68,21439.49,806,4,PLATINUM,2
15733616,Male,France,40,Open,Active Member,80613.93,142838.64,806,5,SILVER,1
15753566,Female,France,32,Open,Inactive Member,63763.49,156593.09,806,3,GOLD,1
15805212,Female,France,67,Open,Active Member,0,103945.58,806,1,PLATINUM,3
15700487,Male,France,46,Closed,Inactive Member,118022.06,162643.15,805,6,GOLD,4
15804822,Female,France,31,Open,Inactive Member,0,4798.12,805,4,PLATINUM,2
15807305,Male,France,39,Open,Inactive Member,0,166650.32,805,2,PLATINUM,1
15611973,Male,France,55,Open,Active Member,0,118752.6,804,7,SILVER,5
15629744,Female,France,71,Open,Active Member,0,147995.96,804,8,SILVER,5
15719377,Female,France,50,Closed,Active Member,0,8546.87,804,4,GOLD,2
15756472,Male,France,25,Open,Inactive Member,108396.67,128276.95,804,7,DIAMOND,1
15757931,Male,France,24,Open,Inactive Member,0,173195.33,804,3,SILVER,4
15580227,Male,France,33,Open,Inactive Member,0,115676.61,803,6,SILVER,4
15603674,Male,France,36,Open,Active Member,0,149370.93,803,1,SILVER,3
15621815,Female,France,40,Open,Inactive Member,165526.71,12328.08,803,6,SILVER,3
15646513,Male,France,42,Closed,Inactive Member,0,196466.83,803,5,GOLD,1
15660101,Male,France,31,Open,Inactive Member,157120.86,141300.53,803,9,GOLD,3
15696852,Female,France,32,Closed,Active Member,192122.84,54277.45,803,9,SILVER,1
15708256,Male,France,28,Open,Inactive Member,0,159654,803,3,DIAMOND,5
15803681,Female,France,26,Open,Active Member,0,181208.47,803,4,DIAMOND,2
15810898,Female,France,65,Open,Active Member,151659.52,6930.17,803,2,PLATINUM,5
15601008,Male,France,33,Open,Inactive Member,0,143706.18,802,8,SILVER,1
15601012,Female,France,60,Closed,Inactive Member,92887.06,39473.63,802,3,PLATINUM,4
15663770,Male,France,38,Open,Active Member,142557.11,172497.73,802,1,DIAMOND,4
15704209,Female,France,39,Closed,Active Member,120145.96,59497.01,802,7,GOLD,5
15753229,Male,France,29,Open,Active Member,127414.55,134459.12,802,9,GOLD,2
15586757,Female,France,32,Open,Active Member,75170.54,37898.5,801,4,SILVER,1
15709396,Male,France,42,Open,Active Member,0,95804.33,801,6,SILVER,1
15748473,Male,France,38,Open,Inactive Member,0,66256.27,801,5,PLATINUM,3
15749093,Male,France,43,Open,Inactive Member,158713.08,98586.14,801,4,SILVER,2
15630910,Female,France,49,Open,Inactive Member,108007.36,47125.11,800,7,PLATINUM,3
15719294,Female,France,29,Open,Inactive Member,0,167773.55,800,2,PLATINUM,4
15738318,Female,France,40,Closed,Inactive Member,97764.41,98640.15,800,5,PLATINUM,3
15783501,Female,France,38,Open,Inactive Member,168190.33,68052.08,800,2,SILVER,3
15799925,Male,France,60,Open,Active Member,88541.57,131718.12,800,6,SILVER,1
15806327,Female,France,40,Open,Inactive Member,75893.11,132562.23,800,3,PLATINUM,5
15633640,Female,France,52,Open,Active Member,161209.66,89081.41,799,4,SILVER,4
15708608,Female,France,22,Open,Active Member,174185.98,192633.85,799,8,PLATINUM,3
15717706,Female,France,32,Open,Active Member,106045.92,17938,799,3,SILVER,2
15745533,Female,France,63,Closed,Inactive Member,110314.21,37464,799,1,GOLD,3
15778290,Male,France,70,Open,Active Member,70416.75,36483.52,799,8,PLATINUM,4
15795129,Female,France,30,Open,Inactive Member,0,136827.96,799,9,DIAMOND,5
15581654,Male,France,32,Open,Active Member,0,37731.95,798,7,GOLD,4
15595557,Male,France,22,Open,Inactive Member,0,107615.43,798,8,GOLD,5
15604818,Male,France,34,Open,Inactive Member,154495.79,191395.88,798,9,PLATINUM,1
15729377,Male,France,36,Open,Active Member,0,159044.1,798,1,GOLD,4
15738907,Female,France,60,Closed,Inactive Member,96956.1,31907.44,798,6,SILVER,1
15750658,Male,France,37,Open,Inactive Member,0,110783.28,798,8,SILVER,4
15770498,Female,France,37,Open,Active Member,111723.08,83478.12,798,4,SILVER,4
15793883,Male,France,28,Open,Inactive Member,0,2305.27,798,3,GOLD,2
15575060,Male,France,24,Open,Inactive Member,0,182257.61,797,5,DIAMOND,3
15606554,Male,France,29,Open,Active Member,0,149991.32,797,1,GOLD,5
15609458,Male,France,30,Open,Active Member,69413.44,74637.57,797,10,GOLD,4
15630466,Male,France,45,Open,Inactive Member,0,125110.02,797,8,DIAMOND,2
